Lesson,Elements of Science and Engineering Practice(s),Rationale
12,"Apply concepts of statistics and probability (including mean, median, mode, and variability) to analyze and characterize data, using digital tools when feasible.","Students engage with the simulation by first selecting the number of particles and the 
temperature of the sample of matter (gas). This allows them to observe the interactions (collisions) between the particles. They have opportunities to adjust the temperature and/or number of particles and collect and analyze data, including the speed of the fastest and slowest particles, changes in the total kinetic energy of the particles, and the temperature of the gas."
12,Use mathematical representations to describe and/or support scientific conclusions and design solutions.,"Students use mathematical representations and computational thinking as they gather, analyze, and compare data, including average kinetic energy of the particles of a gas (temperature), total kinetic energy of the particles, and the range of speed between the slowest and fastest particles."
13,"Develop and/or use a model to generate data to test ideas about phenomena in natural or designed systems, including those representing inputs and outputs, and those at unobservable scales.","Students use a model to generate data to test ideas about phenomena in natural or designed systems, including those representing inputs and outputs and those at unobservable scales both in their work with marbles and computer simulations, acoss activities #1-8."
13,Collect data to produce data to serve as the basis for evidence to answer scientific questions or test design solutions under a range of conditions.,"Students collect data to serve as the basis for evidence to answer scientific questions or to test under a range of conditions in their work with marbles and computer simulations, acoss activities #1-8."
14,"Construct, use, and/or present an oral and written argument supported by empirical evidence and scientific reasoning to support or refute an 
explanation or a model for a phenomenon or a solution to a problem.",Students organize and use evidence to support claims that temperature changes are due to the movement of heat rather than cold between samples of matter.
15,"Develop and/or use a model to generate data to test ideas about phenomena in natural or designed systems, including those representing inputs and outputs, and those at unobservable scales.",Students co-develop a model as a class that they will then use in their groups to design features for their cups that will minimize energy transfer. They will use their model to justify their design choices and to guide them as they test and redesign their cups.
15,Critically read scientific texts adapted for classroom use to determine the central ideas and/or obtain scientific and/or technical information to describe patterns in and/or evidence about the natural and designed world(s).,Students read about a design feature widely used in cups to keep beverages cold or warm. They determine important ideas from the reading that help them make connections to previous ideas they have already developed. They use this information to gain both scientific and technical information that will help them design their own cups in the design challenge.
15,"Communicate scientific and/or technical information (e.g. about a proposed object, tool, process, system) in writing and/or",Students develop posters that include big ideas and a model to communicate scientific information about a certain design feature used in cups and how it slows energy transfer.
16,"Collect data about the performance of a proposed object, tool, process or system under a range of conditions",Students collect data about the performance of their cup systems under specified testing situations so that tests across all the cups are fairly done.
16,"Undertake a design project, engaging in the design cycle, to construct and/or implement a solution that meets specific design criteria and constraints.","Students work in groups to undertake a design challenge for a cup to minimize energy transfer, engaging in one design cycle to meet specific design criteria and constraints."
,,
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
17,"Collect data about the performance of a proposed object, tool, process or system under a range of conditions",Students collect an additional round of data about the performance of their redesigned cup systems under specified testing situations so that tests across all the cups are fairly done. This allows students to make comparisons between their first cup design and their new cup design.
17,"Undertake a design project, engaging in the design cycle, to construct and/or implement a solution that meets specific design criteria and constraints.","Students work in groups to complete a second design cycle to better meet specific design criteria and constraints. They focus on redesigning their cups to either improve performance on the criteria or to better meet the constraints, or both."
17,"Optimize performance of a design by prioritizing criteria, making tradeoffs, testing, revising, and re testing.","Students redesign their cups to optimize 
performance of the cups. Prior to beginning the second design cycle, students reflect on the design process. Part of this reflection may include 
prioritizing criteria, making tradeoffs, and evaluating the testing process. The reflection will vary from class to class depending on how the first design cycle in Lesson 16 went."
18,"Develop and/or revise a model to show the relationships among variables, including those that are not observable but predict observable 
phenomena.","Students develop a generalized model for energy transfer that accounts for unobservable mechanisms for energy transfer via radiation and conduction from air, and that can be used to predict observable phenomena."
18,Develop and/or use a model to predict and/or describe phenomena.,"Students will develop a more generalized model for energy transfer that includes both conduction and radiation combined, and then use the model to make predictions about how the model would change with certain devices in which some of the variables in the system are different (e.g., white cooler versus dark blue cooler)."
18,"Apply scientific ideas or principles to design, construct, and/or test a design of an object, tool, process or system.",Students will apply scientific ideas and principles to evaluate the designs for proposed disaster relief blankets. They will need to apply ideas about energy transfer via conduction or radiation to make sense of the test results for each design option.
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
1,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.","Students set up a model of the cup system and are prompted to think about the important parts of the system, what could be entering the system (inputs) or leaving it (outputs), and the processes that cause the drink to warm up or stay the same temperature."
1,"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used.","Students examine the structural components of the regular cup and fancy cup to identify similarities and differences that may be related to how well the cups performed at maintaining the drink’s temperature. 
They compare these structural components to those observed in related systems that are designed to keep things hot or cold."
2,Patterns can be used to identify cause and effect relationships.,"By examining patterns in the class data, students identify which cup features play a more significant role in keeping a drink cold."
,,
,,
Lesson,Elements of Crosscutting Concept(s),Rationale
2,"Graphs, charts, and images can be used to identify patterns in data.","By analyzing class data, students identify patterns indicating the role that specific cup features play in keeping a drink cold."
2,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.","Students revise their cup system model to explain which features work best for keeping things (e.g., air, heat, energy, cold, light) from entering the system (inputs) or leaving it (outputs), thus allowing the drink to stay cold longer."
3,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.","Students construct cup system models to explain how features of the best-performing and worst performing cup systems work to affect the 
temperature change of liquids inside the cup systems."
3,"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used.",Students plan an investigation to test one structural feature of the cup system: the lid. Students generate ideas about why the lid may be important to the system and work in small groups to plan how to investigate how the lid works to maintain the temperature of the liquid inside or to slow the warming up or cooling down process.
4,Macroscopic patterns are related to the nature of microscopic and atomic-level structure.,"Students account for macroscopic patterns based on the nature of changes at the microscopic level (particulate model of matter) when they use the chip manipulatives to explain what is happening to the liquid water in the system (evaporation) over time. They use this idea again when they annotate and explain what the class consensus models show with regard to how the particles in the solid cup walls, the liquid (the water), and gases (the air) interact in a open system vs. a less open system."
4,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.","Students use the idea that models can represent systems and their interactions—such as inputs, processes, and outputs—related to matter flow into, out of, and within the system when they develop and use models of the different systems and zoom in circles for different subsystem boundaries to visualize what is happening to particles of the matter at those boundaries at the end of days 2 and 3."
4,Matter is conserved because atoms are conserved in physical and chemical processes.,Students use the idea that matter is conserved because atoms are conserved in physical processes when they explain why the mass of the mostly closed (lidded) system remained mostly the same while the mass of the more open (unlidded) system decreased.
5,Patterns can be used to identify cause and effect relationships.,Students observe changes to the outside of a cup of cold water and measure changes in mass before and after droplets of water form on the outside of the cup to determine whether these droplets formed due to water that came from inside the cup system. They compare their lab data to other experiences of condensation to establish patterns for the conditions necessary for condensation to occur.
5,Matter is conserved because atoms are conserved in physical and chemical processes.,Students use changes in mass to argue that the matter inside the cup does not leave through the cup walls. The water droplets that form on the outside of the cup system are made up of matter from the air on the outside of the cup system.
,,
,,
Lesson,Elements of Crosscutting Concept(s),Rationale
6,Macroscopic patterns are related to the nature of microscopic and atomic-level structure.,"Students account for macroscopic patterns based on the nature of changes at the microscopic level (particulate model of matter) when they use marble manipulatives and drawn diagrams to explain what is happening to the liquid water and water vapor in the system when it reaches a solid boundary (e.g., cup wall or lid) on day 1 of the lesson."
6,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,Students use cause-and-effect relationships to predict phenomena in natural or designed systems when they answer Questions 3 and 4 on [material: TH.L6.SA] to connect structural differences (different-sized openings in the lid) to describe and predict which cup would lose mass faster and decrease in temperature faster.
6,"Phenomena may have more than one cause, and some cause and effect relationships in systems can only be described using probability.","Students understand that phenomena may have more than one cause when they consider Question 5 in [material: TH.L6.ASMT], which problematizes how an airtight system can still undergo a temperature change even if it is exchanging no matter with the outside (which was one cause students have already identified as contributing to temperature changes)."
6,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.","Students use the idea that models can represent systems and their interactions—such as inputs, processes, and outputs—related to matter inside and outside the system when they develop and use models of two different cups, using zoom-in circles at different subsystem boundaries to visualize what is happening to particles of the matter in the liquid, solid, and gas there. They do this in the small-group activity on day 1 and in the independent assessment at the end of day 2."
6,Matter is conserved because atoms are conserved in physical and chemical processes.,"Students use the idea that matter is conserved in physical processes and start to develop the idea that some other form of flow (e.g., energy) must be entering or exiting the system to explain how an airtight container (closed system) with cold or hot liquid can warm up or cool down to room 
temperature without any mass loss in the navigation discussion at the end of day 2."
6,"Complex and microscopic structures and systems can be visualized, modeled, and used to describe how their function depends on the shapes, 
composition, and relationships among its parts; therefore, complex natural and designed 
structures/systems can be analyzed to determine how they function.","Students model microscopic structures and systems and visualize how their function depends on the shapes and relationships among the parts, with regard to the amount of space between neighboring particles in a solid versus gaps between the cup’s lid and wall, to explain why water molecules can escape through some points in the cup system but not others. They do this when they complete the zoom in models for Questions D and E on [material: TH.L6.HO2]."
7,"Complex and microscopic structures and systems can be visualized, modeled, and used to describe how their function depends on the shapes, 
composition, and relationships among its parts; therefore, complex natural and designed 
structures/systems can be analyzed to determine how they function.","Students think about and analyze what they understand about the components and structures of the closed cup system, how the components and structures function, and how they interact with one another and with other objects and substances that are not part of the cup system. Students use what they know to determine what else might be interacting with the system to cause a temperature change in the liquid inside, and they problematize how to test these ideas to figure out how these interactions occur at the particle level."
,,
,,
Lesson,Elements of Crosscutting Concept(s),Rationale
8,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,Students identify the key relationships between amounts of light and temperature changes. Students consider the underlying mechanisms that can explain how these relationships give rise to the observed temperature changes.
9,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.",The Water Bath Lab is a model to represent how energy moves between systems. Students will focus on recording temperature changes inside and outside the cup system but will not connect temperature measurements to the kinetic energy of particles until Lessons 10 and 11.
10,Phenomena that can be observed at one scale may not be observable at another scale.,"By adding food coloring to water of varying temperatures, students can better visualize the movement in water at the particle scale."
11,Phenomena that can be observed at one scale may not be observable at another scale.,"Students consider what happened in the Food Coloring Lab and realize that we cannot observe particles’ motion with our naked eye, only the collective behavior of particles and how that affects things like the spread of food coloring and dyes. Students watch a simulation at the particle scale and observe that particles are moving fast in hot water and slowly in cold water."
12,Patterns can be used to identify cause and effect relationships.,"The online simulation uses different shades of color and/or varying lengths of trails to indicate the speed (amount of kinetic energy) of individual particles of a gas. As students observe particle motion in the simulation, they look for recurring patterns in the changes that occur as the particles collide. These collisions result in transfers of energy between particles, which manifest as changes in color and/or trail length. Students use this information to determine a cause-and-effect relationship between particle speed and the energy transfers that occur when particles collide."
12,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,"As students observe recurring patterns of change in particle speed due to collisions, they determine a cause-and-effect relationship between the kinetic energy of individual particles and the transfer of energy that occurs when particles collide. Students use this relationship to make predictions about changes in the temperature of particles in other types of matter as they interact."
12,Grades 3-5: A system can be described in terms of its components and their interactions.,"Students use the simulation to observe matter at the particle level, which is at a scale too small to observe with the tools available in middle school science classrooms. The simulation allows students to observe the motion of and interactions between the particles in a gas to determine how particle collisions result in transfers of energy."
13,Macroscopic patterns are related to the nature of microscopic and atomic-level structure.,"Students account for macroscopic patterns based on the nature of changes at the microscopic level (particulate model of matter) when they use simulations and marble manipulatives to explore how collisions between particles in a sample of matter account for speed changes in the particles, and for subsequent changes in the temperature of the matter, in activities #1-8."
,,
,,
Lesson,Elements of Crosscutting Concept(s),Rationale
13,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,"Students use cause-and-effect relationships to predict phenomena in natural or designed systems when they (1) explore how particle collisions between fast-moving particles (marbles) in solids, liquids, and gases can transfer kinetic energy to other particles they collide with in activities #1-4 and (2) consider how the size of a solid, its temperature, and the amount of the solid in contact with surrounding material affect the amount of thermal energy transfer (total kinetic energy at a particle level) to and from surrounding matter in activities #5-8."
13,"Phenomena may have more than one cause, and some cause and effect relationships in systems can only be described using probability.","Students understand that phenomena may have more than one cause when they consider how the size of a solid, its temperature, and the amount of the solid in contact with surrounding material affect the amount of thermal energy transfer (total kinetic energy at a particle level) to and from surrounding matter in activities #5-8."
13,"Models can be used to represent systems and their interactions—such as inputs, processes andoutputs— and energy, matter, and information flows within systems.","Students use the idea that models can represent systems and their interactions—such as inputs, processes, and outputs—when they explore the kinetic energy of particles before and after a collision in activities #1-4, and the total kinetic energy of solids in a system in activities #5-8."
13,"Energy may take different forms (e.g. energy in fields, thermal energy, energy of motion).","Students use the idea that the transfer of energy can be tracked as energy flows through a designed or natural system when they investigate kinetic energy transfer via particle collisions in gases, solids, and liquids in activities #1-8."
13,Unknown practice identifier: 7.7,"Students investigate how the rate of thermal energy transfer (total kinetic energy at a particle level) depends on how much of a solid is in contact with surrounding material, with regard to the amount of particles that can transfer motion energy (via conduction) to neighboring particles, in activity #7."
14,The transfer of energy can be tracked as energy flows through a designed or natural system.,"Students use models to track how energy transfers from high-energy to low-energy particles through collisions, thus leading to temperature changes in matter."
15,"Energy may take different forms (e.g. energy in fields, thermal energy, energy of motion).","Students develop a consensus model in which they explicitly track different kinds of energy, such as the energy from light (energy in fields), the kinetic energy of particles (energy of motion), and thermal energy (energy of an object or substance due to particle motion in the object or substance)."
15,The transfer of energy can be tracked as energy flows through a designed or natural system.,Students’ models account for the transfer of energy into a cup system and how certain features slow this process.
15,"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used.",Students read about different designs for beverage containers that have been effective in minimizing energy transfer. They examine properties of materials or other design features of cups and apply science ideas to make sense of how the structures worked so effectively.
,,
,,
Lesson,Elements of Crosscutting Concept(s),Rationale
16,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,Students predict and explain why design features would minimize energy transfer (effect )in terms of causal mechanisms (particle interactions and light’s interaction with matter).
16,"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used.",Students select at least three design features (structures) for their cup systems. Their choice of design features are ones they believe will minimize energy transfer (function by reducing particle collisions or blocking absorption of light .
17,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,Students explain the outcomes for different designs and related design features in terms of causal mechanisms (particle interactions and light’s interaction with matter).
17,"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used.",Students select at least three design features (structures) for their cup systems. Their choice of design features are ones they believe will minimize energy transfer by reducing particle collisions or blocking absorption of light (functions).
18,Patterns in rates of change and other numerical relationships can provide information about natural and human designed systems.,Students look for patterns in rates of temperature change across a variety of tests aimed at collecting data on different design features that could minimize energy transfer into a cup system.
18,Cause and effect relationships may be used to predict phenomena in natural or designed systems.,"Students explain why design features minimize energy transfer (effect) in terms of causal 
mechanisms (particle interactions and light’s interaction with matter)."
18,"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used.",Students select at least three design features (structures) for their cup systems. Their choice of design features are ones they believe will minimize energy transfer by reducing particle collisions or blocking absorption of light (functions).
